p_in,Re,Geometry
11.9224,532.38,channelStripRe
12.09342,760.11,channelStripRe
6.648019,1898.78,leftStripBendRe
3.935941,886.63,rightStripBendRe
1.772539,1468.62,forwardStepRe
0.2490621,1949.39,backwardStepRe
1.853403,1114.37,forwardStepRe
0.6736394,582.99,backwardStepRe
0.7586785,507.08,backwardStepRe
6.428275,582.99,rightStripBendRe
4.968369,1291.49,rightStripBendRe
1.793813,1342.10,forwardStepRe
2.530809,1949.39,narrowEndBendRe
1.560203,1696.35,bendRe
6.351561,1873.48,leftStripBendRe
1.031815,380.56,bendRe
0.9637651,279.34,bendRe
8.124742,633.59,leftStripBendRe
2.699373,582.99,narrowEndBendRe
0.3355406,1139.67,channelRe
0.6116051,405.86,channelRe
0.3103431,1519.23,backwardStepRe
2.033762,734.81,forwardStepRe
1.766129,1493.92,forwardStepRe
0.4484634,684.20,channelRe
7.861822,1392.71,rightStripBendRe
16.65122,1367.41,channelStripRe
1.089453,456.47,bendRe
1.525991,228.73,backwardStepRe
0.3188308,1468.62,backwardStepRe
2.965481,329.95,narrowEndBendRe
7.020885,1215.58,leftStripBendRe
0.2910504,1645.75,backwardStepRe
5.73969,102.22,rightStripBendRe
5.272035,76.91,forwardStepRe
0.5054743,557.68,channelRe
1.713153,1696.35,forwardStepRe
2.552844,1898.78,narrowEndBendRe
1.052014,405.86,bendRe
6.837651,1114.37,rightStripBendRe
9.494244,329.95,leftStripBendRe
1.090594,127.52,bendRe
26.00703,1443.32,channelStripRe
0.6401253,1190.28,bendRe
7.630221,1797.57,leftStripBendRe
10.49301,760.11,leftStripBendRe
9.729714,26.30,leftStripBendRe
1.780401,1392.71,forwardStepRe
2.857253,26.30,bendRe
5.629634,127.52,rightStripBendRe
0.5348251,507.08,channelRe
2.653345,658.90,narrowEndBendRe
11.15414,127.52,channelStripRe
1.593567,1671.05,bendRe
1.685252,2000.00,forwardStepRe
0.4038221,1089.06,backwardStepRe
0.2533671,1898.78,channelRe
1.567155,102.22,channelRe
0.9678762,203.43,bendRe
4.905313,1519.23,rightStripBendRe
10.12144,1316.80,leftStripBendRe
2.528482,1924.09,narrowEndBendRe
2.802292,456.47,narrowEndBendRe
8.132607,26.30,rightStripBendRe
4.215925,76.91,backwardStepRe
63.11601,1.00,bendRe
6.210072,51.61,backwardStepRe
0.2455772,2000.00,backwardStepRe
1.75381,1645.75,forwardStepRe
1.685537,1949.39,forwardStepRe
2.59474,329.95,forwardStepRe
64.59075,1974.70,channelStripRe
6.386028,1038.46,leftStripBendRe
2.592829,785.42,narrowEndBendRe
6.529821,1418.01,leftStripBendRe
6.344869,987.85,rightStripBendRe
1.812908,1266.19,forwardStepRe
20.74982,1569.84,channelStripRe
2.608584,127.52,backwardStepRe
11.86957,481.77,channelStripRe
1.684241,1974.70,forwardStepRe
8.947054,836.03,leftStripBendRe
0.3324497,1392.71,backwardStepRe
2.051893,709.51,forwardStepRe
5.225735,405.86,rightStripBendRe
11.50653,254.04,channelStripRe
2.567912,1493.92,narrowEndBendRe
9.694605,304.65,leftStripBendRe
2.508369,1038.46,narrowEndBendRe
0.9569488,254.04,bendRe
2.526881,1367.41,narrowEndBendRe
0.5514343,481.77,channelRe
4.193678,1164.97,rightStripBendRe
9.269675,911.94,leftStripBendRe
1.668726,1873.48,forwardStepRe
11.37695,203.43,channelStripRe
112.6431,1.00,narrowEndBendRe
0.455233,937.24,backwardStepRe
0.2839844,1721.66,backwardStepRe
9.514899,1696.35,leftStripBendRe
2.683033,608.29,narrowEndBendRe
12.17659,911.94,channelStripRe
0.3237243,1215.58,channelRe
2.468457,1240.89,narrowEndBendRe
11.80903,26.30,forwardStepRe
2.57276,836.03,narrowEndBendRe
0.3145315,1493.92,backwardStepRe
37.51261,1797.57,channelStripRe
8.431157,785.42,leftStripBendRe
1.749105,1620.44,forwardStepRe
2.477365,1164.97,narrowEndBendRe
12.33608,1190.28,channelStripRe
0.2590639,1822.87,channelRe
